Frecuency_Aportes;Frecuency_Rescates;Monetary_Aportes;Monetary_Rescates;Recency_Aportes;Recency_Rescates;Perfil_Movimientos;Perfil_Cliente;Sexo;Estado_Civil;Ingeniero;Region_Metropolitana;Porcentaje_Promedio;Edad;Antiguedad;Accionario;Corto;Rentsem;Rentmen;EEUU;Nacional;FugaBajaS;FugaBajaM;RescateBajaSem;RescateBajaMes;FugaCategorica;FugaNumerica;CLV;
0,197674419;0,041666667;0,658228186;0,721788413;0,453579628;0,143088442;0;0,5;1;0;0;1;0,219064952;0,464460536;0,844413013;0;1;0,358717051;0,432040366;0;1;0;0;0;0;F;1;11446,6585;15,62165521
0,093023256;0,072916667;0,814203831;0,820116357;0,592809397;0,401700041;0,673387097;0,25;0;0;1;1;0,298664979;0,269711558;0,831683168;0,419354839;0,129032258;0,435037665;0,519707279;0,064516129;0,306451613;0,285714286;0,142857143;0,428571429;0,285714286;N;0;1372,87222;1,873606735
0,093023256;0,041666667;0,769002048;0,746020963;0,64726943;0,401700041;0,505;0,5;0;1;1;1;0,033227737;0,269064283;0,832154644;0,26;0,06;0,387348714;0,469550226;0,1;0,72;0;0;0,5;0,5;N;0;87143,20035;118,9273734
0;0;0;0;1;1;0,5;0,5;0;1;0;1;0;0,645374004;0,827439887;0,428571429;0,285714286;0,359719313;0,429445954;0;1;0;0;0;0;N;0;64764,41572;88,38626329
0,174418605;0;0,68182475;0;0,64726943;1;0,533088235;0,5;0;1;1;1;0;0,265423359;0,824611033;0,352941176;0,102941176;0,42819217;0,516704937;0,044117647;0,647058824;0;0;0;0;N;0;35302,70145;48,17883139
0,104651163;0;0,795575936;0;0,759778914;1;0,745283019;0,75;0;0;0;1;0;0,245357822;0,83262612;0,660377358;0,169811321;0,231462402;0,522182886;0,509433962;0,339622642;0;0;0;0;N;0;571115,494;779,4212895
0;0;0;0;1;1;0,5625;0,25;0;0;0;1;0;0,133662365;0,82272513;0,375;0,125;0,444486823;0,447670736;0;1;0;0;0;0;N;0;603,3692395;0,823439104
0,174418605;0,135416667;0,823150256;0,808123533;0,680369442;0,769933403;0,389583333;0,5;0;1;1;1;0,116963563;0,242242809;0,880716643;0,133333333;0,241666667;0,411600631;0,434323472;0;0,85;0;0;0;0;N;0;203394,4095;277,5794645
0;0,041666667;0;0,804780356;1;0,667216396;0,743902439;1;1;1;0;1;0,102234573;0,749140337;0,821782178;0,682926829;0,195121951;0,424652664;0,412910106;0,341463415;0,365853659;0;0;0;0;N;0;51414,13375;70,16666655
0;0;0;0;1;1;0,875;0,5;0;0;1;1;0;0,294227113;0,821782178;0,666666667;0;0,353583561;0,379324311;0,166666667;0,333333333;0;0;0;0;N;0;2828,871215;3,860659488
0;0;0;0;1;1;1;0,5;0;1;1;1;0;0,604231563;0,818953324;1;0;0,346161112;0,408741471;0;0;0;0;0;0;N;0;34011,2894;46,4163962
0;0;0;0;1;1;0,916666667;0,5;0;1;0;0;0;0,413973057;0,818953324;0,666666667;0;0,265596326;0,552282118;0,333333333;0;0;0;0;0;N;0;1325,414758;1,808839877
0,430232558;0,1875;0,724156599;0,711472766;0,059387069;0,268214865;0,343237705;1;1;0;0;1;0,053546124;0,611796594;0,814238567;0,151639344;0,397540984;0,383788353;0,483525336;0,06557377;0,647540984;0;0;0,055555556;0;N;0;134291,6298;183,2724841
0,011627907;0;0,708939548;0;0,8169861;1;0,504901961;0,5;0;0;0;1;0;0,277762045;0,814238567;0,294117647;0,098039216;0,402158104;0,497748285;0,078431373;0,745098039;0;0;0;0;N;0;19098,10212;26,06384792
0,023255814;0;0,20813388;0;0,64726943;1;0,333333333;0,25;0;1;1;1;0;0,384157935;0,820839227;0;0,111111111;0,406645452;0,494580289;0;1;0;0;0;0;N;0;16261,95477;22,19325844
0,093023256;0;0,29760426;0;0,64726943;1;0,502475248;0,75;0;1;1;0;0;0,23168413;0,824611033;0,257425743;0;0,38397877;0,477401058;0,099009901;0,742574257;0;0;0;0;N;0;833327,2793;1137,270884
0,104651163;0;0,699843047;0;0,788856534;1;0,895833333;0,75;1;0;0;1;0;0,341963672;0,821782178;0,75;0;0,5682769;0,53097584;0;0,833333333;0;0;0;0;N;0;32094,65832;43,80070273
0,023255814;0,010416667;0,842675421;0,842960731;0;0,604175551;0,629032258;0,5;0;0;1;1;0,201686665;0,154011085;0,801037247;0,322580645;0,064516129;0,27982018;0,487124181;0,322580645;0,483870968;0;0;0;0;N;0;96337,77364;131,4755291
